"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Baetis",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",9,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Baetis","Drunella",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","order","order",9,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Baetis","Heteroplectron",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Heteroplectron","exact","order",6,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Baetis","Ironodes",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes","order","order",9,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Baetis","Lednia",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",234.0234023,"Arthropoda","Insecta","Plecoptera","Nemouridae","Lednia","genus","order",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Baetis","Chironomidae",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",2101.710171,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Baetis","Muscidae",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae","exact","order",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Baetis","Simulium",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","order",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Baetis","Zapada",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",31.50315032,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","genus","order",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
"Drunella","Baetis",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",9,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50,Devonport B.F. & Winterbourn M.J. (1976) The feeding relationships of two invertebrate predators in a New Zealand river. Freshwater Biology 6, 167–176.,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466–474.,Thompson and Townsend, 1999, 2004"
