"node","density","phylum","class","order","family","genus"
"Aedes",4.500450045,"Arthropoda","Insecta","Diptera","Culicidae","Aedes"
"Ameletus",18.00180018,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",58.50585059,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Drunella",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Helodon",1197.119712,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon"
"Heteroplectron",9.00090009,"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Heteroplectron"
"Chironomidae",184.5184518,"Arthropoda","Insecta","Diptera","Chironomidae",
"Oligochaeta",85.50855086,"Annelida","Clitellata",,,
"Turbellaria",49.5049505,"Platyhelminthes","Turbellaria",,,
"Ochrotrichia",144.0144014,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia"
"Oreogeton",4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Pisidium",148.5148515,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Prosimulium",18.00180018,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium"
"Rhyacophila",18.00180018,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",454.5454545,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stegopterna",31.50315032,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Zapada",81.00810081,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
